name,terminology,code,term,name_orig
qcovid_SolidOrganTransplant,OPCS4,Y019,Unspecified replacement of organ NOC,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_PrescribedImmunoSupp,DMD,17665811000001108,Capimune 100mg capsules (Viatris UK Healthcare Ltd) (product),PrescribedImmunoSuppressants
qcovid_SevereCombinedImmuno,SNOMED,191008001,Immunodeficiency following hereditary defective response to Epstein-Barr virus (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_RheumatoidArthritisO,SNOMED,201779000,Rheumatoid arthritis of ankle (disorder),RheumatoidArthritisOrSle
qcovid_Dementia,SNOMED,230273006,Frontotemporal degeneration (disorder),Dementia
qcovid_Epilepsy,SNOMED,241006,Epilepsia partialis continua (disorder),Epilepsy
qcovid_Dementia,SNOMED,442344002,Dementia due to Huntington chorea (disorder),Dementia
qcovid_BipolarDiseaseOrSchi,SNOMED,765176007,Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder),BipolarDiseaseOrSchizophrenia
qcovid_PrescribedImmunoSupp,DMD,8077011000001100,Mycophenolic acid 360mg gastro-resistant tablets (product),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,ICD10,C924,Acute promyelocytic leukaemia [PML],CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,ICD10,C965,Multifocal and unisystemic Langerhans-cell histiocytosis,CancerOfBloodOrBoneMarrow
qcovid_LearningDisabilityOr,ICD10,F800,Specific speech articulation disorder,LearningDisabilityOrDownsSyndrome
qcovid_Dementia,ICD10,G30,Alzheimer disease,Dementia
qcovid_PeripheralVascularDi,ICD10,I731,Thromboangiitis obliterans [Buerger],PeripheralVascularDisease
qcovid_RheumatoidArthritisO,ICD10,M0522,Rheumatoid vasculitis,RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,ICD10,Q256,Stenosis of pulmonary artery,CongenitalHeartProblem
qcovid_PriorFractureOfHipWr,ICD10,S525,Fracture of lower end of radius,PriorFractureOfHipWristSpineHumerus
qcovid_PrescribedImmunoSupp,DMD,4091011000001100,Rapamune 1mg/ml oral solution (Wyeth Laboratories) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,7694211000001105,Mabcampath 30mg/3ml solution for injection ampoules (Schering Health Care Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,28947711000001108,Tacrolimus 750microgram capsules (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,22650111000001100,Vertine 25micrograms/dose inhaler CFC free (Teva UK Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,24565711000001104,Alemtuzumab 12mg/1.2ml solution for infusion vials (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,318611000001108,Immunoprin 50mg tablets (Ashbourne Pharmaceuticals Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,3243511000001107,Oxis Turbohaler 6 (AstraZeneca) (product),TakingAntiLeukotrieneOrLaba
qcovid_Copd,SNOMED,313297008,Moderate chronic obstructive pulmonary disease (disorder),Copd
qcovid_ChronicKidneyDisease,SNOMED,324471000000100,Chronic kidney disease stage 4 without proteinuria (disorder),ChronicKidneyDisease
qcovid_LungOrOralCancer,SNOMED,363382005,Malignant tumor of gum (disorder),LungOrOralCancer
qcovid_CongenitalHeartProbl,SNOMED,36422005,Transposition of pulmonary veins (disorder),CongenitalHeartProblem
qcovid_LungOrOralCancer,SNOMED,430621000,Malignant neoplasm of lower respiratory tract (disorder),LungOrOralCancer
qcovid_Epilepsy,SNOMED,79745005,Reflex epilepsy (disorder),Epilepsy
qcovid_CancerOfBloodOrBoneM,SNOMED,188666005,Mast cell malignancy of lymph nodes of inguinal region and lower limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,SNOMED,191561004,Subchronic latent schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CongenitalHeartProbl,SNOMED,204319006,Lutembacher's syndrome (disorder),CongenitalHeartProblem
qcovid_Diabetes,SNOMED,26298008,Ketoacidotic coma due to diabetes mellitus (disorder),Diabetes
qcovid_ChronicKidneyDisease,SNOMED,324541000000105,Chronic kidney disease stage 5 without proteinuria (disorder),ChronicKidneyDisease
qcovid_Epilepsy,SNOMED,7033004,Absence status epilepticus (finding),Epilepsy
qcovid_CongenitalHeartProbl,OPCS4,K115,Revision of repair of defect of interventricular septum,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,204299009,Dextrotransposition of aorta (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,204456001,Subdiaphragmatic total anomalous pulmonary venous return (disorder),CongenitalHeartProblem
qcovid_Asthma,SNOMED,225057002,Brittle asthma (disorder),Asthma
qcovid_Diabetes,SNOMED,237632004,Hypoglycemic event due to diabetes,Diabetes
qcovid_CongenitalHeartProbl,SNOMED,36110001,Congenital anomaly of pulmonary artery (disorder),CongenitalHeartProblem
qcovid_LungOrOralCancer,SNOMED,363383000,Malignant tumor of upper gingiva (disorder),LungOrOralCancer
qcovid_Dementia,SNOMED,52448006,Dementia (disorder),Dementia
qcovid_PrescribedImmunoSupp,DMD,28947611000001104,Tacrolimus 2mg capsules (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,31087511000001105,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler (product),TakingAntiLeukotrieneOrLaba
qcovid_TakingAntiLeukotrien,DMD,38897611000001100,Fluticasone propionate 100micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler (product),TakingAntiLeukotrieneOrLaba
qcovid_CancerOfBloodOrBoneM,ICD10,C862,Enteropathy-type (intestinal) T-cell lymphoma,CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,ICD10,F302,Mania with psychotic symptoms,BipolarDiseaseOrSchizophrenia
qcovid_CoronaryHeartDisease,ICD10,I210,Acute transmural myocardial infarction of anterior wall,CoronaryHeartDisease
qcovid_PulmonaryHypertensio,ICD10,J841,Other interstitial pulmonary diseases with fibrosis,PulmonaryHypertensionOrFibrosis
qcovid_CancerOfBloodOrBoneM,ICD10,C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],CancerOfBloodOrBoneMarrow
qcovid_PriorFractureOfHipWr,ICD10,M4842,Fatigue fracture of vertebra,PriorFractureOfHipWristSpineHumerus
qcovid_PrescribedOralSteroi,DMD,28799811000001108,Pevanti 25mg tablets (AMCo) (product),PrescribedOralSteroids
qcovid_TakingAntiLeukotrien,DMD,35937811000001108,Salmeterol 50microgram inhalation powder blisters with device (product),TakingAntiLeukotrieneOrLaba
qcovid_Dementia,ICD10,F001,Dementia in Alzheimer disease with late onset,Dementia
qcovid_CoronaryHeartDisease,ICD10,I253,Aneurysm of heart,CoronaryHeartDisease
qcovid_RheumatoidArthritisO,ICD10,M0508,Felty syndrome,RheumatoidArthritisOrSle
qcovid_PriorFractureOfHipWr,ICD10,M4847,Fatigue fracture of vertebra,PriorFractureOfHipWristSpineHumerus
qcovid_PriorFractureOfHipWr,ICD10,S720,Fracture of neck of femur,PriorFractureOfHipWristSpineHumerus
qcovid_CancerOfBloodOrBoneM,ICD10,C847,"Anaplastic large cell lymphoma, ALK-negative",CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,ICD10,C944,Acute panmyelosis with myelofibrosis,CancerOfBloodOrBoneMarrow
qcovid_Diabetes,ICD10,E104,Type 1 diabetes mellitus,Diabetes
qcovid_RheumatoidArthritisO,ICD10,M320,Drug-induced systemic lupus erythematosus,RheumatoidArthritisOrSle
qcovid_HivOrAids,ICD10,B207,HIV disease resulting in multiple infections,HivOrAids
qcovid_StrokeOrTia,ICD10,G459,"Transient cerebral ischaemic attack, unspecified",StrokeOrTia
qcovid_PeripheralVascularDi,ICD10,I739,"Peripheral vascular disease, unspecified",PeripheralVascularDisease
qcovid_RheumatoidArthritisO,ICD10,M0623,Rheumatoid bursitis,RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,OPCS4,K128,Other specified repair of defect of unspecified septum of heart,CongenitalHeartProblem
qcovid_RadioTherapyInLast6M,OPCS4,Y918,Other specified external beam radiotherapy,RadioTherapyInLast6Months
qcovid_SevereCombinedImmuno,SNOMED,119250001,Hypogammaglobulinemia (finding),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_LungOrOralCancer,SNOMED,187698002,Malignant tumor of opening of auditory tube (disorder),LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,SNOMED,188562004,Hodgkin's disease lymphocytic-histiocytic predominance of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,188586002,Hodgkin's disease lymphocytic depletion of intrathoracic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_Diabetes,SNOMED,190330002,Hyperosmolar coma due to type 1 diabetes mellitus (disorder),Diabetes
qcovid_SevereCombinedImmuno,SNOMED,191013002,Common variable immunodeficiency with autoantibodies to B- or T-cells (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_BipolarDiseaseOrSchi,SNOMED,191555002,Acute exacerbation of chronic paranoid schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_Epilepsy,SNOMED,192990004,Benign myoclonic epilepsy in infancy (disorder),Epilepsy
qcovid_Copd,SNOMED,195953005,Mixed simple and mucopurulent chronic bronchitis (disorder),Copd
qcovid_CongenitalHeartProbl,SNOMED,204345002,Congenital fusion of pulmonic cusps (disorder),CongenitalHeartProblem
qcovid_Epilepsy,SNOMED,230429005,Early infantile epileptic encephalopathy with suppression bursts (disorder),Epilepsy
qcovid_LungOrOralCancer,SNOMED,187675005,Malignant tumor of tonsillar pillar (disorder),LungOrOralCancer
qcovid_CoronaryHeartDisease,SNOMED,194862000,Hemopericardium due to and following acute myocardial infarction (disorder),CoronaryHeartDisease
qcovid_LiverCirrhosis,SNOMED,197362001,Toxic liver disease with fibrosis and cirrhosis of liver (disorder),LiverCirrhosis
qcovid_CongenitalHeartProbl,SNOMED,205769006,Isolated levocardia,CongenitalHeartProblem
qcovid_Asthma,SNOMED,312453004,Asthma - currently active (finding),Asthma
qcovid_CongenitalHeartProbl,SNOMED,36233006,Congenital stenosis of tricuspid valve (disorder),CongenitalHeartProblem
qcovid_Asthma,SNOMED,407674008,Aspirin-induced asthma (disorder),Asthma
qcovid_Diabetes,SNOMED,422166005,Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder),Diabetes
qcovid_MotorNeuroneDiseaseO,SNOMED,88923002,Progressive muscular atrophy (disorder),MotorNeuroneDiseaseOrMultipleSclerosisOrMyaestheniaOrHuntingtonsChorea
qcovid_HivOrAids,SNOMED,943041000000105,Human immunodeficiency virus disease resulting in haematological and immunological abnormalities (disorder),HivOrAids
qcovid_LungOrOralCancer,SNOMED,187692001,Malignant tumor of nasopharynx (disorder),LungOrOralCancer
qcovid_Diabetes,SNOMED,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),Diabetes
qcovid_Diabetes,SNOMED,190416008,Steroid-induced diabetes mellitus without complication (disorder),Diabetes
qcovid_Copd,SNOMED,196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection (disorder),Copd
qcovid_RheumatoidArthritisO,SNOMED,201780002,Rheumatoid arthritis of subtalar joint (disorder),RheumatoidArthritisOrSle
qcovid_Epilepsy,SNOMED,361268000,Alcohol-induced epilepsy (disorder),Epilepsy
qcovid_Diabetes,SNOMED,420756003,Cataract of eye due to diabetes mellitus type 2 (disorder),Diabetes
qcovid_HeartFailure,SNOMED,421704003,New York Heart Association Classification - Class II (finding),HeartFailure
qcovid_CongenitalHeartProbl,SNOMED,67278007,Congenital stenosis of pulmonary valve (disorder),CongenitalHeartProblem
qcovid_BipolarDiseaseOrSchi,SNOMED,68890003,Schizoaffective disorder (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,109992005,Polycythemia vera (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,109995007,Myelodysplastic syndrome (disorder),CancerOfBloodOrBoneMarrow
qcovid_LearningDisabilityOr,SNOMED,110359009,Intellectual disability (disorder),LearningDisabilityOrDownsSyndrome
qcovid_BipolarDiseaseOrSchi,SNOMED,191620005,Bipolar affective disorder currently manic mild (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,277641001,Follicular malignant lymphoma - large cell (disorder),CancerOfBloodOrBoneMarrow
qcovid_Epilepsy,SNOMED,307356008,Motor epilepsy (disorder),Epilepsy
qcovid_Diabetes,SNOMED,314903002,Arthropathy due to type 2 diabetes mellitus (disorder),Diabetes
qcovid_Diabetes,SNOMED,314904008,Type II diabetes mellitus with neuropathic arthropathy (disorder),Diabetes
qcovid_SevereCombinedImmuno,SNOMED,50926003,Job's syndrome (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_Asthma,SNOMED,866881000000101,Chronic asthma with fixed airflow obstruction (disorder),Asthma
qcovid_SolidOrganTransplant,OPCS4,Y016,Alloreplacement of organ from cadaver NOC,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_TakingAntiLeukotrien,DMD,863011000001109,Singulair Paediatric 4mg chewable tablets (Organon Pharma (UK) Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_CancerOfBloodOrBoneM,SNOMED,188633006,Sézary's disease of lymph nodes of axilla and upper limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_LiverCirrhosis,SNOMED,197305002,Syphilitic portal cirrhosis (disorder),LiverCirrhosis
qcovid_CongenitalHeartProbl,SNOMED,204318003,Persistent ostium secundum (disorder),CongenitalHeartProblem
qcovid_SevereCombinedImmuno,SNOMED,44940001,Adenosine deaminase deficiency (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_Diabetes,SNOMED,713706002,Polyneuropathy due to type 2 diabetes mellitus (disorder),Diabetes
qcovid_PrescribedImmunoSupp,DMD,8308411000001102,Azathioprine 50mg/5ml oral suspension (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,34952211000001104,Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,8077811000001106,Myfortic 360mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_LungOrOralCancer,SNOMED,187693006,Malignant tumor of posterior wall of nasopharynx (disorder),LungOrOralCancer
qcovid_Diabetes,SNOMED,25093002,Disorder of eye due to diabetes mellitus (disorder),Diabetes
qcovid_Dementia,SNOMED,416975007,Primary degenerative dementia of the Alzheimer type senile onset (disorder),Dementia
qcovid_BipolarDiseaseOrSchi,SNOMED,84760002,Schizoaffective disorder depressive type (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,95192000,Nodular lymphoma of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,ICD10,F319,"Bipolar affective disorder, unspecified",BipolarDiseaseOrSchizophrenia
qcovid_CoronaryHeartDisease,ICD10,I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",CoronaryHeartDisease
qcovid_CongenitalHeartProbl,ICD10,Q254,Other congenital malformations of aorta,CongenitalHeartProblem
qcovid_CancerOfBloodOrBoneM,SNOMED,449108003,Philadelphia chromosome positive chronic myelogenous leukemia (disorder),CancerOfBloodOrBoneMarrow
qcovid_Diabetes,SNOMED,4855003,Retinopathy due to diabetes mellitus (disorder),Diabetes
qcovid_ChronicKidneyDisease,SNOMED,950311000000102,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3 (disorder),ChronicKidneyDisease
qcovid_Dementia,SNOMED,191451009,Uncomplicated presenile dementia (disorder),Dementia
qcovid_BipolarDiseaseOrSchi,SNOMED,191592002,Recurrent manic episodes mild (disorder),BipolarDiseaseOrSchizophrenia
qcovid_LiverCirrhosis,SNOMED,197296006,Capsular portal cirrhosis (disorder),LiverCirrhosis
qcovid_CoronaryHeartDisease,SNOMED,25106000,Impending infarction (disorder),CoronaryHeartDisease
qcovid_LungOrOralCancer,SNOMED,363375006,Malignant tumor of tongue (disorder),LungOrOralCancer
qcovid_Asthma,SNOMED,370220003,Occasional asthma (disorder),Asthma
qcovid_CancerOfBloodOrBoneM,SNOMED,91855006,Acute leukemia disease (disorder),CancerOfBloodOrBoneMarrow
qcovid_RadioTherapyInLast6M,OPCS4,Y361,Introduction of gold seeds into organ NOC,RadioTherapyInLast6Months
qcovid_BipolarDiseaseOrSchi,ICD10,F200,Paranoid schizophrenia,BipolarDiseaseOrSchizophrenia
qcovid_BipolarDiseaseOrSchi,ICD10,F30,Manic episode,BipolarDiseaseOrSchizophrenia
qcovid_LearningDisabilityOr,ICD10,F812,Specific disorder of arithmetical skills,LearningDisabilityOrDownsSyndrome
qcovid_InflammatoryBowelDis,ICD10,K518,Other ulcerative colitis,InflammatoryBowelDisease
qcovid_RheumatoidArthritisO,ICD10,M0528,Rheumatoid vasculitis,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0687,Other specified rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_RadioTherapyInLast6M,OPCS4,C395,Radiotherapy to lesion of conjunctiva,RadioTherapyInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,K119,Unspecified repair of defect of interventricular septum,CongenitalHeartProblem
qcovid_SolidOrganTransplant,OPCS4,Y012,Alloreplacement of organ NOC,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_CancerOfBloodOrBoneM,ICD10,C928,Acute myeloid leukaemia with multilineage dysplasia,CancerOfBloodOrBoneMarrow
qcovid_Diabetes,ICD10,E124,Malnutrition-related diabetes mellitus,Diabetes
qcovid_Copd,ICD10,J431,Panlobular emphysema,Copd
qcovid_RheumatoidArthritisO,ICD10,M0520,Rheumatoid vasculitis,RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,ICD10,Q878,"Other specified congenital malformation syndromes, not elsewhere classified",CongenitalHeartProblem
qcovid_BipolarDiseaseOrSchi,SNOMED,270901009,Schizoaffective disorder mixed type (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,277473004,B-cell chronic lymphocytic leukemia (disorder),CancerOfBloodOrBoneMarrow
qcovid_Asthma,SNOMED,41553006,Detergent asthma (disorder),Asthma
qcovid_CancerOfBloodOrBoneM,SNOMED,93145002,Leukemic reticuloendotheliosis of intrapelvic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,95186006,Nodular lymphoma of intra-abdominal lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_SolidOrganTransplant,OPCS4,G261,Allotransplantation of stomach,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,L082,Creation of anastomosis to left pulmonary artery from left subclavian artery NEC,CongenitalHeartProblem
qcovid_HivOrAids,SNOMED,62479008,Acquired immune deficiency syndrome (disorder),HivOrAids
qcovid_BipolarDiseaseOrSchi,SNOMED,764591000000108,Mixed bipolar affective disorder severe (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CongenitalHeartProbl,SNOMED,79439001,Congenital anomaly of aortic arch (disorder),CongenitalHeartProblem
qcovid_Dementia,SNOMED,80098002,Diffuse Lewy body disease (disorder),Dementia
qcovid_Diabetes,ICD10,E127,Malnutrition-related diabetes mellitus,Diabetes
qcovid_Epilepsy,ICD10,G404,Other generalized epilepsy and epileptic syndromes,Epilepsy
qcovid_RheumatoidArthritisO,ICD10,M0534,Rheumatoid arthritis with involvement of other organs and systems,RheumatoidArthritisOrSle
qcovid_PriorFractureOfHipWr,ICD10,M4846,Fatigue fracture of vertebra,PriorFractureOfHipWristSpineHumerus
qcovid_Copd,SNOMED,13645005,Chronic obstructive lung disease (disorder),Copd
qcovid_Epilepsy,SNOMED,192979009,Generalized non-convulsive epilepsy (disorder),Epilepsy
qcovid_StrokeOrTia,SNOMED,195199008,Vertebrobasilar artery syndrome (disorder),StrokeOrTia
qcovid_HeartFailure,SNOMED,367363000,Right ventricular failure (disorder),HeartFailure
qcovid_CoronaryHeartDisease,SNOMED,414545008,Ischemic heart disease (disorder),CoronaryHeartDisease
qcovid_HivOrAids,ICD10,B221,HIV disease resulting in lymphoid interstitial pneumonitis,HivOrAids
qcovid_LungOrOralCancer,ICD10,C000,Malignant neoplasm: External upper lip,LungOrOralCancer
qcovid_Diabetes,ICD10,E105,Type 1 diabetes mellitus,Diabetes
qcovid_Diabetes,ICD10,E136,Other specified diabetes mellitus,Diabetes
qcovid_LiverCirrhosis,ICD10,K745,"Biliary cirrhosis, unspecified",LiverCirrhosis
qcovid_RadioTherapyInLast6M,OPCS4,A613,Radiotherapy to lesion of peripheral nerve,RadioTherapyInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,K182,Creation of valved conduit between right atrium and pulmonary artery,CongenitalHeartProblem
qcovid_TakingAntiLeukotrien,DMD,320258002,Product containing precisely bambuterol hydrochloride 10 milligram/1 each conventional release oral tablet (clinical drug),TakingAntiLeukotrieneOrLaba
qcovid_CongenitalHeartProbl,OPCS4,K05,** first length 4 code ** Reconstruction of atrium using atrial patch for transposition of great arteries,CongenitalHeartProblem
qcovid_PrescribedImmunoSupp,DMD,38588911000001105,Ruxience 500mg/50ml concentrate for solution for infusion vials (Pfizer Ltd) (product),PrescribedImmunoSuppressants
qcovid_SolidOrganTransplant,OPCS4,E539,Unspecified transplantation of lung,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_PrescribedImmunoSupp,DMD,19265811000001103,Arzerra 1000mg/50ml concentrate for solution for infusion vials (GlaxoSmithKline UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,25091211000001101,Siltuximab 400mg powder for solution for infusion vials (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,4881311000001100,CellCept 1g/5ml oral suspension (Roche Products Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,656111000001103,Prograf 500microgram capsules (Fujisawa Ltd) (product),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,SNOMED,188538009,Hodgkin's granuloma of lymph nodes of inguinal region and lower limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_PulmonaryHypertensio,SNOMED,196125002,Diffuse interstitial pulmonary fibrosis (disorder),PulmonaryHypertensionOrFibrosis
qcovid_StrokeOrTia,SNOMED,230700009,Pure sensory lacunar infarction (disorder),StrokeOrTia
qcovid_CongenitalHeartProbl,SNOMED,253335001,Isomerism of atrial appendages (disorder),CongenitalHeartProblem
qcovid_BipolarDiseaseOrSchi,SNOMED,31446002,Bipolar I disorder most recent episode hypomanic (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,863761000000109,Clinical stage B chronic lymphocytic leukaemia (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,93493001,Hodgkin's disease lymphocytic-histiocytic predominance of intra-abdominal lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,110005000,Acute myelomonocytic leukemia FAB M4 (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,188729005,Adult T-cell leukemia (disorder),CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,SNOMED,204354004,Congenital tricuspid atresia and stenosis (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,253601007,Aortic valve ring hypoplasia (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,26780008,Coarctation of pulmonary artery (disorder),CongenitalHeartProblem
qcovid_CancerOfBloodOrBoneM,SNOMED,269476000,Nodular lymphoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_LungOrOralCancer,SNOMED,363432004,Malignant tumor of trachea (disorder),LungOrOralCancer
qcovid_AtrialFibrillation,SNOMED,440059007,Persistent atrial fibrillation (disorder),AtrialFibrillation
qcovid_CoronaryHeartDisease,SNOMED,57054005,Acute myocardial infarction (disorder),CoronaryHeartDisease
qcovid_CancerOfBloodOrBoneM,SNOMED,93135004,Letterer-Siwe disease of intrathoracic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,93527005,Hodgkin's disease of spleen (disorder),CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,SNOMED,10818008,Congenital malposition of heart (disorder),CongenitalHeartProblem
